,사업장명,맛,친절,가성비,양,혼밥,청결,인테리어,특별한날,특별한메뉴,단체모임,깨끗한화장실,주차,뷰,신선한재료,넓은매장
223,땅끝마을,62,20,18,13,10,7,0,1,11,1,2,0,0,13,3
224,혜수네식당,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,제주상회,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,에디슨치킨,40,16,24,8,2,2,0,0,2,0,0,0,0,8,1
227,동탄마약떡볶이 위례중앙점,119,33,60,9,6,5,0,1,4,2,2,0,2,21,1
228,꼬꼬치킨,15,9,8,7,0,0,1,0,0,0,0,0,0,4,0
229,양푼,67,22,24,38,11,5,0,0,3,0,0,0,1,10,0
230,성북다방,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,둥지,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232,풀리쉬랩,0,88,23,0,0,70,104,0,51,0,14,0,58,0,0
233,크래프트 한스,33,9,7,0,0,1,2,0,1,1,0,0,0,0,0
234,왕비 마라탕,66,34,34,28,18,12,0,0,7,1,2,0,0,23,1
235,성원,106,65,10,24,12,38,22,11,7,27,21,0,2,37,27
236,아바이 순대국,22,3,4,2,5,1,1,0,1,0,1,0,0,2,1
237,메이탄,192,54,13,16,7,45,9,8,18,19,4,0,0,46,38
238,돈꼬레,47,24,16,16,2,5,2,2,3,7,2,0,1,15,9
239,최신족발,71,27,16,17,3,10,1,2,9,2,2,0,0,4,7
240,교촌치킨 신대방삼거리점,162,39,11,10,4,15,3,1,15,2,0,0,1,23,5
241,엄마반찬,7,6,2,0,0,0,0,0,0,0,0,0,0,3,0
242,카페 sun,0,1,1,0,0,2,1,0,3,0,0,0,1,0,0
243,친구야,15,3,4,0,0,0,1,0,1,3,0,0,0,0,0
244,에스,19,13,1,5,5,10,3,1,11,0,0,0,0,7,0
245,Whim 윔,33,33,9,2,4,21,31,1,15,0,9,0,1,13,1
246,계탄언니,122,53,25,28,4,27,32,0,27,9,0,0,2,15,15
247,호호반점 성수낙낙점,131,50,49,31,41,70,46,5,35,5,11,0,1,33,28
248,장수한방삼계탕,118,58,22,22,6,37,3,2,20,3,0,0,1,46,3
249,87족발,14,7,6,3,0,0,0,0,1,0,0,0,0,5,0
250,강원도집,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,거금도갯장어마을,18,7,6,5,2,3,0,1,5,1,0,0,4,8,2
252,궁중추어탕,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0
253,박군치킨 강남수서점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,삼성식당,717,167,69,29,28,122,37,71,329,39,12,0,3,135,158
255,비어테라스,5,3,3,0,0,0,1,0,0,2,0,0,0,0,0
256,해피데이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,삼우식당,11,4,4,2,1,0,0,0,0,0,1,0,0,2,0
258,사운드키친,111,72,15,27,36,32,23,2,45,1,6,0,2,88,0
259,더 그리핀,1,10,1,0,0,3,9,0,1,1,2,0,0,0,0
260,킴자매올다이닝,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0
261,이디야커피 송파한양점,0,22,14,0,0,12,1,0,0,0,3,0,3,0,0
262,카빙당,17,9,10,4,7,1,0,0,2,0,0,0,0,2,0
263,카페브레송,0,5,2,0,0,1,3,0,1,0,0,0,0,0,0
264,성원코리아,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,본도시락,53,12,8,5,7,2,0,0,3,0,0,0,0,14,0
266,지하102호,51,27,11,0,0,9,12,0,15,1,7,0,0,0,0
267,라밥,168,37,64,32,85,18,2,0,15,1,0,0,2,40,2
268,우주,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0
269,거나,16,11,7,3,2,3,9,1,6,0,1,0,0,10,0
270,전북집,27,12,9,2,1,1,0,1,3,3,2,0,2,6,2
271,경복 너랑나랑호프,39,13,5,0,0,5,0,0,14,7,1,0,0,0,0
272,원할머니보쌈목동사거리점,45,14,8,5,3,5,0,2,3,1,2,0,1,7,5
273,생태명가,95,23,19,15,2,6,2,1,4,7,0,0,0,9,7
274,최원석의돼지한판&서해쭈꾸미건대1호점,70,25,6,7,2,19,3,1,7,12,0,0,0,23,16
275,두번째이야기,11,7,6,0,0,0,1,0,1,0,0,0,0,0,0
276,돈뼈락연탄갈비,88,18,21,15,0,3,0,2,11,8,1,0,0,13,8
277,8번지,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
278,퍼콜레이트,0,19,0,0,0,12,4,0,5,0,4,0,1,0,0
279,선명,35,28,4,0,0,7,6,0,19,0,0,0,0,0,0
